id,name,host_id,host_name,host_since_Year,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,accommodates,bedrooms
16582068,Stylish private studio Center/Jordaan with garden,662664,Jantine,2011,Centrum-West,52.37903,4.88377,Private room,149,2,99,2022-05-29,4.91,4.96,4.93,4.98,4.95,4.97,4.69,2,
16583033,Canal room,4978942,Beca,2013,De Baarsjes - Oud-West,52.36873,4.85616,Private room,73,1,248,2022-05-19,4.74,4.84,4.64,4.95,4.91,4.75,4.69,2,1
16610138,Perfect Artistic & Private City Centre Hide Out,2705184,Juul & Ruub,2012,De Pijp - Rivierenbuurt,52.35448,4.88959,Entire home/apt,115,3,213,2022-05-31,4.81,4.88,4.87,4.95,4.83,4.95,4.64,3,1
16614928,Studio de Pijp + free bicycles,41130076,Mik En Isabelle,2015,De Pijp - Rivierenbuurt,52.35199,4.90477,Private room,145,2,268,2022-06-02,4.98,4.96,4.97,4.97,4.95,4.87,4.8,2,1
16615187,The city center & nature @ your fingertips,283269,Manon,2010,Noord-Oost,52.40627,4.93407,Private room,120,1,7,2019-10-20,5,5,5,5,5,4.86,4.86,2,1
16625355,"Big house close to NDSM, 2 cats. Max 4 people.",29268751,Anneke,2015,Noord-West,52.40872,4.90547,Entire home/apt,177,4,62,2022-05-29,4.89,4.9,4.74,4.87,4.95,4.66,4.75,4,4
16630995,Quiet apt next to Amstel River,18905733,Mira,2014,Oud-Oost,52.35537,4.9075,Entire home/apt,75,3,38,2021-06-23,4.87,4.95,4.84,4.95,4.97,4.78,4.65,2,1
16640930,Spacious apartment near museums & parks,109959345,Peter,2017,De Baarsjes - Oud-West,52.36053,4.86473,Entire home/apt,340,3,34,2020-07-11,4.94,4.85,4.97,4.88,4.94,4.66,4.78,4,3
16655842,Beautiful light and cosy apt. in A'dam West,110111688,Petra,2017,De Baarsjes - Oud-West,52.36747,4.85006,Entire home/apt,146,2,47,2022-05-22,4.98,4.98,4.94,5,5,4.83,4.74,2,1
16671672,A cozy & light apartment on the Amsterdam canal,109868271,Evelina,2017,De Baarsjes - Oud-West,52.36326,4.85601,Entire home/apt,130,3,14,2021-08-25,4.93,5,4.79,5,5,4.83,4.67,2,1
